sim/none/none                                      Do nothing at all!
sim/autopilot/bank_limit_up                        Bank angle limit up.
sim/autopilot/bank_limit_toggle                    Bank angle limit toggle.
sim/autopilot/soft_ride_toggle                     Soft ride toggle.
sim/electrical/dc_volt_dn                          DC Voltmeter down.
sim/electrical/dc_volt_up                          DC Voltmeter up.
sim/electrical/dc_volt_ext                         DC Voltmeter external power.
sim/electrical/dc_volt_ctr                         DC Voltmeter center.
sim/electrical/dc_volt_lft                         DC Voltmeter left.
sim/electrical/dc_volt_rgt                         DC Voltmeter right.
sim/electrical/dc_volt_tpl                         DC Voltmeter TPL-fed.
sim/electrical/dc_volt_bat                         DC Voltmeter battery.
sim/HUD/power_toggle                               HUD toggle power.
sim/HUD/brightness_toggle                          HUD toggle brightness.
sim/systems/total_energy_audio_toggle              Toggle total-energy audio.
sim/instruments/thermo_units_toggle                Toggle english/metric thermometer.
sim/instruments/barometer_2992                     Baro pressure selection 2992.
sim/instruments/DG_sync_down                       DG sync down.
sim/instruments/DG_sync_up                         DG sync up.
sim/instruments/copilot_DG_sync_down               Copilot DG sync down.
sim/instruments/copilot_DG_sync_up                 Copilot DG sync up.
sim/instruments/ah_ref_down                        Horizon reference down a bit.
sim/instruments/ah_ref_up                          Horizon reference up a bit.
sim/instruments/ah_ref_copilot_down                Horizon reference down a bit, copilot.
sim/instruments/ah_ref_copilot_up                  Horizon reference down a bit, copilot.
sim/instruments/barometer_down                     Baro selection down a bit.
sim/instruments/barometer_up                       Baro selection up a bit.
sim/instruments/barometer_copilot_down             Baro selection down a bit, copilot.
sim/instruments/barometer_copilot_up               Baro selection up a bit, copilot.
sim/instruments/dh_ref_down                        Decision-height reference down.
sim/instruments/dh_ref_up                          Decision-height reference up.
sim/instruments/dh_ref_copilot_down                Decision-height reference copilot down.
sim/instruments/dh_ref_copilot_up                  Decision-height reference copilot up.
sim/instruments/panel_bright_down                  Panel brightness down a bit.
sim/instruments/panel_bright_up                    Panel brightness up a bit.
sim/instruments/instrument_bright_down             Instrument brightness down a bit.
sim/instruments/instrument_bright_up               Instrument brightness up a bit.
sim/annunciator/test_all_annunciators              Test all annunciators.
sim/annunciator/test_stall                         Test stall warn.
sim/annunciator/test_fire_1_annun                  Test fire 1 annunciator.
sim/annunciator/test_fire_2_annun                  Test fire 2 annunciator.
sim/annunciator/test_fire_3_annun                  Test fire 3 annunciator.
sim/annunciator/test_fire_4_annun                  Test fire 4 annunciator.
sim/annunciator/test_fire_5_annun                  Test fire 5 annunciator.
sim/annunciator/test_fire_6_annun                  Test fire 6 annunciator.
sim/annunciator/test_fire_7_annun                  Test fire 7 annunciator.
sim/annunciator/test_fire_8_annun                  Test fire 8 annunciator.
sim/annunciator/clear_master_caution               Clear master caution.
sim/annunciator/clear_master_warning               Clear master warning.
sim/annunciator/clear_master_accept                Clear master accept.
sim/FMS/ls_1l                                      FMS: ls_1l
sim/FMS/ls_2l                                      FMS: ls_2l
sim/FMS/ls_3l                                      FMS: ls_3l
sim/FMS/ls_4l                                      FMS: ls_4l
sim/FMS/ls_5l                                      FMS: ls_5l
sim/FMS/ls_6l                                      FMS: ls_6l
sim/FMS/ls_1r                                      FMS: ls_1r
sim/FMS/ls_2r                                      FMS: ls_2r
sim/FMS/ls_3r                                      FMS: ls_3r
sim/FMS/ls_4r                                      FMS: ls_4r
sim/FMS/ls_5r                                      FMS: ls_5r
sim/FMS/ls_6r                                      FMS: ls_6r
sim/FMS/init                                       FMS: init
sim/FMS/prev                                       FMS: prev
sim/FMS/next                                       FMS: next
sim/FMS/clear                                      FMS: clear
sim/FMS/direct                                     FMS: direct
sim/FMS/sign                                       FMS: sign
sim/FMS/type_apt                                   FMS: apt
sim/FMS/type_vor                                   FMS: vor
sim/FMS/type_ndb                                   FMS: ndb
sim/FMS/type_fix                                   FMS: fix
sim/FMS/type_latlon                                FMS: lat/lon
sim/FMS/key_0                                      FMS: key_0
sim/FMS/key_1                                      FMS: key_1
sim/FMS/key_2                                      FMS: key_2
sim/FMS/key_3                                      FMS: key_3
sim/FMS/key_4                                      FMS: key_4
sim/FMS/key_5                                      FMS: key_5
sim/FMS/key_6                                      FMS: key_6
sim/FMS/key_7                                      FMS: key_7
sim/FMS/key_8                                      FMS: key_8
sim/FMS/key_9                                      FMS: key_9
sim/FMS/key_A                                      FMS: key_A
sim/FMS/key_B                                      FMS: key_B
sim/FMS/key_C                                      FMS: key_C
sim/FMS/key_D                                      FMS: key_D
sim/FMS/key_E                                      FMS: key_E
sim/FMS/key_F                                      FMS: key_F
sim/FMS/key_G                                      FMS: key_G
sim/FMS/key_H                                      FMS: key_H
sim/FMS/key_I                                      FMS: key_I
sim/FMS/key_J                                      FMS: key_J
sim/FMS/key_K                                      FMS: key_K
sim/FMS/key_L                                      FMS: key_L
sim/FMS/key_M                                      FMS: key_M
sim/FMS/key_N                                      FMS: key_N
sim/FMS/key_O                                      FMS: key_O
sim/FMS/key_P                                      FMS: key_P
sim/FMS/key_Q                                      FMS: key_Q
sim/FMS/key_R                                      FMS: key_R
sim/FMS/key_S                                      FMS: key_S
sim/FMS/key_T                                      FMS: key_T
sim/FMS/key_U                                      FMS: key_U
sim/FMS/key_V                                      FMS: key_V
sim/FMS/key_W                                      FMS: key_W
sim/FMS/key_X                                      FMS: key_X
sim/FMS/key_Y                                      FMS: key_Y
sim/FMS/key_Z                                      FMS: key_Z
sim/FMS/key_period                                 FMS: key_period
sim/FMS/key_back                                   FMS: key_back
sim/FMS/key_space                                  FMS: key_space
sim/FMS/key_load                                   FMS: key_load
sim/FMS/key_save                                   FMS: key_save
sim/FMS/fix_next                                   FMS: next fix
sim/FMS/fix_prev                                   FMS: prev fix
sim/annunciator/gear_warning_mute                  Mute gear warning horn.
sim/annunciator/marker_beacon_mute                 Mute marker beacons.
sim/systems/pre_rotate_toggle                      Toggle pre-rotate.
sim/flight_controls/pump_flaps                     Pump flaps up/down.
sim/flight_controls/pump_gear                      Pump gear up/down.
sim/GPS/mode_airport                               GPS mode: airports.
sim/GPS/mode_VOR                                   GPS mode: VORs.
sim/GPS/mode_NDB                                   GPS mode: NDBs.
sim/GPS/mode_waypoint                              GPS mode: waypoints.
sim/GPS/fine_select_down                           GPS fine select down.
sim/GPS/fine_select_up                             GPS fine select up.
sim/GPS/coarse_select_down                         GPS coarse select down.
sim/GPS/coarse_select_up                           GPS coarse select up.
sim/GPS/g430n1_coarse_down                         G430 COM/NAV 1 coarse down.
sim/GPS/g430n1_coarse_up                           G430 COM/NAV 1 coarse up.
sim/GPS/g430n1_fine_down                           G430 COM/NAV 1 fine down.
sim/GPS/g430n1_fine_up                             G430 COM/NAV 1 fine up.
sim/GPS/g430n2_coarse_down                         G430 COM/NAV 2 coarse down.
sim/GPS/g430n2_coarse_up                           G430 COM/NAV 2 coarse up.
sim/GPS/g430n2_fine_down                           G430 COM/NAV 2 fine down.
sim/GPS/g430n2_fine_up                             G430 COM/NAV 2 fine up.
sim/GPS/g430n1_chapter_up                          G-430 Nav-1 chapter up.
sim/GPS/g430n1_chapter_dn                          G-430 Nav-1 chapter dn.
sim/GPS/g430n1_page_up                             G-430 Nav-1 page up.
sim/GPS/g430n1_page_dn                             G-430 Nav-1 page dn.
sim/GPS/g430n2_chapter_up                          G-430 Nav-2 chapter up.
sim/GPS/g430n2_chapter_dn                          G-430 Nav-2 chapter dn.
sim/GPS/g430n2_page_up                             G-430 Nav-2 page up.
sim/GPS/g430n2_page_dn                             G-430 Nav-2 page dn.
sim/GPS/g430n1_zoom_in                             G-430 Nav-1 zoom_in.
sim/GPS/g430n1_zoom_out                            G-430 Nav-1 zoom_out.
sim/GPS/g430n1_nav_com_tog                         G-430 Nav-1 nav_com_tog.
sim/GPS/g430n1_cdi                                 G-430 Nav-1 cdi.
sim/GPS/g430n1_obs                                 G-430 Nav-1 obs.
sim/GPS/g430n1_msg                                 G-430 Nav-1 msg.
sim/GPS/g430n1_fpl                                 G-430 Nav-1 fpl.
sim/GPS/g430n1_proc                                G-430 Nav-1 proc.
sim/GPS/g430n1_vnav                                G-430 Nav-1 vnav.
sim/GPS/g430n1_direct                              G-430 Nav-1 direct.
sim/GPS/g430n1_menu                                G-430 Nav-1 menu.
sim/GPS/g430n1_clr                                 G-430 Nav-1 clr.
sim/GPS/g430n1_ent                                 G-430 Nav-1 ent.
sim/GPS/g430n1_com_ff                              G-430 Nav-1 com_ff.
sim/GPS/g430n1_nav_ff                              G-430 Nav-1 nav_ff.
sim/GPS/g430n2_zoom_in                             G-430 Nav-2 zoom_in.
sim/GPS/g430n2_zoom_out                            G-430 Nav-2 zoom_out.
sim/GPS/g430n2_nav_com_tog                         G-430 Nav-2 nav_com_tog.
sim/GPS/g430n2_cdi                                 G-430 Nav-2 cdi.
sim/GPS/g430n2_obs                                 G-430 Nav-2 obs.
sim/GPS/g430n2_msg                                 G-430 Nav-2 msg.
sim/GPS/g430n2_fpl                                 G-430 Nav-2 fpl.
sim/GPS/g430n2_proc                                G-430 Nav-2 proc.
sim/GPS/g430n2_vnav                                G-430 Nav-2 vnav.
sim/GPS/g430n2_direct                              G-430 Nav-2 direct.
sim/GPS/g430n2_menu                                G-430 Nav-2 menu.
sim/GPS/g430n2_clr                                 G-430 Nav-2 clr.
sim/GPS/g430n2_ent                                 G-430 Nav-2 ent.
sim/GPS/g430n2_com_ff                              G-430 Nav-2 com_ff.
sim/GPS/g430n2_nav_ff                              G-430 Nav-2 nav_ff.
sim/GPS/g430n1_cursor                              G-430 Nav-1 push cursor.
sim/GPS/g430n1_popup                               G-430 Nav-1 toggle popup.
sim/GPS/g430n2_cursor                              G-430 Nav-2 push cursor.
sim/GPS/g430n2_popup                               G-430 Nav-2 toggle popup.
sim/systems/overspeed_test                         Prop overspeed-test.
sim/fuel/indicate_aux                              Fuel tanks show auxiliary tanks.
sim/autopilot/test_auto_annunciators               Autopilot test annunciators.
sim/flight_controls/pitch_trim_up                  Pitch trim up.
sim/flight_controls/pitch_trim_down                Pitch trim down.
sim/flight_controls/aileron_trim_left              Aileron trim left.
sim/flight_controls/aileron_trim_right             Aileron trim right.
sim/flight_controls/rudder_trim_left               Rudder trim left.
sim/flight_controls/rudder_trim_right              Rudder trim rigt.
sim/flight_controls/gyro_rotor_trim_up             Gyro rotor trim up.
sim/flight_controls/gyro_rotor_trim_down           Gyro rotor trim down.
sim/flight_controls/rotor_rpm_trim_up              Rotor RPM trim up.
sim/flight_controls/rotor_rpm_trim_down            Rotor RPM trim down.
sim/flight_controls/pitch_trim_takeoff             Pitch trim takeoff.
sim/flight_controls/aileron_trim_center            Aileron trim center.
sim/flight_controls/rudder_trim_center             Rudder trim center.
sim/flight_controls/rudder_lft                     Rudder left.
sim/flight_controls/rudder_ctr                     Rudder center.
sim/flight_controls/rudder_rgt                     Rudder right.
sim/autopilot/set_ott_seldisp_ALT_VVI_vvi          Let ott_seldisp_ALT_VVI show VVI.
sim/autopilot/set_ott_seldisp_ALT_VVI_alt          Let ott_seldisp_ALT_VVI show ALT.
sim/operation/ground_speed_change                  Sim 1x 2x 4x ground speed.
sim/operation/freeze_toggle                        Freeze the groundspeed of the simulation.
sim/instruments/timer_start_stop                   Start or stop the timer.
sim/instruments/timer_reset                        Reset the timer.
sim/instruments/timer_show_date                    Show date on the chrono.
sim/instruments/timer_mode                         Timer/Clock mode for chronos.
sim/instruments/timer_cycle                        Timer start-stop-reset.
sim/operation/time_down                            Time: a little earlier.
sim/operation/time_up                              Time: a little later.
sim/operation/time_down_lots                       Time: a good bit earlier.
sim/operation/time_up_lots                         Time: a good bit later.
sim/operation/date_down                            Date: a little earlier.
sim/operation/date_up                              Date: a little later.
sim/instruments/timer_is_GMT                       Timer is GMT.
sim/operation/flightmodel_speed_change             Sim 1x 2x 4x sim speed.
sim/operation/pause_toggle                         Pause the simulation.
sim/operation/video_record_toggle                  Toggle AVI movie recording.
sim/operation/configure_video_recording            Configure AVI movie recording.
sim/replay/replay_toggle                           Toggle replay mode on/off.
sim/replay/replay_off                              Replay mode off.
sim/replay/rep_begin                               Replay mode: begin.
sim/replay/rep_play_fr                             Replay mode: play fas-rev.
sim/replay/rep_play_rr                             Replay mode: play reg-rev.
sim/replay/rep_play_sr                             Replay mode: play slo-rev.
sim/replay/rep_pause                               Replay mode: pause.
sim/replay/rep_play_sf                             Replay mode: play slo-fwd.
sim/replay/rep_play_rf                             Replay mode: play reg-fwd.
sim/replay/rep_play_ff                             Replay mode: play fas-fwd.
sim/replay/rep_end                                 Replay mode: end.
sim/operation/toggle_logbook                       Toggle logbook window.
sim/operation/set_environment_properties           Toggle the Set Environment Properties window.
sim/operation/text_file_toggle                     Toggle text file selected in 'Special'.
sim/operation/checklist_toggle                     Toggle checklist selected in 'Special'.
sim/operation/checklist_next                       NEXT item in checklist in 'Special'.
sim/operation/checklist_previous                   PREV item in checklist in 'Special'.
sim/operation/contact_atc                          Contact ATC.
sim/operation/toggle_ai_flies                      Toggle AI flying your aircraft.
sim/operation/toggle_yoke                          Toggle yoke visibility
sim/operation/reset_flight                         Reset to last reset done.
sim/operation/go_to_default                        Reset to nearest airport.
sim/operation/reset_to_runway                      Reset to nearest runway.
sim/operation/Grass_Field_Takeoff                  Grass Field Takeoff
sim/operation/Dirt_Field_Takeoff                   Dirt Field Takeoff
sim/operation/Gravel_Field_Takeoff                 Gravel Field Takeoff
sim/operation/Water_Way_Takeoff                    Water-Way Takeoff	
sim/operation/Helipad_Takeoff                      Helipad Takeoff
sim/operation/Carrier_Catshot                      Carrier Catshot
sim/operation/Glider_Winch                         Glider-Winch
sim/operation/Glider_Tow                           Glider-Tow
sim/operation/Air_Drop_from_B_52                   Air-Drop from B-52
sim/operation/Piggyback_Shuttle_on_747             Piggyback Shuttle on 747
sim/operation/Formation_Flying                     Formation Flying
sim/operation/Air_Refuel_Boom                      Air-Refuel Boom
sim/operation/Air_Refuel_Basket                    Air-Refuel Basket
sim/operation/Aircraft_Carrier_Approach            Aircraft Carrier Approach
sim/operation/Frigate_Approach                     Frigate Approach
sim/operation/Medium_Oil_Rig_Approach              Medium Oil Rig Approach
sim/operation/Large_Oil_Platform_Approach          Large Oil Platform Approach
sim/operation/Forest_Fire_Approach                 Forest Fire Approach
sim/operation/Space_Shuttle_Full_Re_entry          Space Shuttle: Full Re-entry
sim/operation/Space_Shuttle_Final_Re_entry         Space Shuttle: Final Re-entry
sim/operation/Space_Shuttle_Full_Approach          Space Shuttle: Full Approach
sim/operation/Space_Shuttle_Final_Approach         Space Shuttle: Final Approach
sim/view/ai_controls_views                         Toggle AI controls your views.
sim/view/free_camera                               View: free camera.
sim/view/forward_with_panel                        View: fwd with panel.
sim/view/forward_with_hud                          View: fwd with HUD.
sim/view/forward_with_nothing                      View: fwd with nothing.
sim/view/linear_spot                               View: linear spot.
sim/view/still_spot                                View: still spot.
sim/view/runway                                    View: runway.
sim/view/circle                                    View: circle.
sim/view/tower                                     View: tower.
sim/view/ridealong                                 View: ride-along.
sim/view/track_weapon                              View: track weapon.
sim/view/chase                                     View: chase.
sim/view/3d_cockpit_cmnd_look                      View: 3-D cockpit cmd-look.
sim/view/3d_cockpit_toggle                         View: toggle 3-D cockpit.
sim/view/cinema_verite                             View: cinema verite.
sim/view/sunglasses                                View: sunglasses.
sim/view/night_vision                              View: night vision.
sim/view/flashlight_red                            Toggle the red flashlight.
sim/view/flashlight_wht                            Toggle the white flashlight.
sim/view/glance_left                               View: glance left.
sim/view/glance_right                              View: glance right.
sim/view/up_left                                   View: up-left.
sim/view/up_right                                  View: up-right.
sim/view/straight_up                               View: straight up.
sim/view/straight_down                             View: straight down.
sim/view/left_45                                   View: 45 degrees left.
sim/view/right_45                                  View: 45 degrees right.
sim/view/left_90                                   View: 90 degrees left.
sim/view/right_90                                  View: 90 degrees right.
sim/view/left_135                                  View: 135 degrees left.
sim/view/right_135                                 View: 135 degrees right.
sim/view/back                                      View: backward.
sim/view/3d_path_toggle                            View: 3-D path toggle.
sim/view/3d_path_reset                             View: 3-D path reset.
sim/view/show_physics_model                        View: show physics model.
sim/view/mouse_click_regions_toggle                View: mouse-click regions.
sim/view/instrument_descriptions_toggle            View: instrument descriptions.
sim/view/quick_look_0                              View: 3-D cockpit location # 1
sim/view/quick_look_1                              View: 3-D cockpit location # 2
sim/view/quick_look_2                              View: 3-D cockpit location # 3
sim/view/quick_look_3                              View: 3-D cockpit location # 4
sim/view/quick_look_4                              View: 3-D cockpit location # 5
sim/view/quick_look_5                              View: 3-D cockpit location # 6
sim/view/quick_look_6                              View: 3-D cockpit location # 7
sim/view/quick_look_7                              View: 3-D cockpit location # 8
sim/view/quick_look_8                              View: 3-D cockpit location # 9
sim/view/quick_look_9                              View: 3-D cockpit location # 10
sim/view/quick_look_0_mem                          View: 3-D cockpit location # 1 MEMORIZE
sim/view/quick_look_1_mem                          View: 3-D cockpit location # 2 MEMORIZE
sim/view/quick_look_2_mem                          View: 3-D cockpit location # 3 MEMORIZE
sim/view/quick_look_3_mem                          View: 3-D cockpit location # 4 MEMORIZE
sim/view/quick_look_4_mem                          View: 3-D cockpit location # 5 MEMORIZE
sim/view/quick_look_5_mem                          View: 3-D cockpit location # 6 MEMORIZE
sim/view/quick_look_6_mem                          View: 3-D cockpit location # 7 MEMORIZE
sim/view/quick_look_7_mem                          View: 3-D cockpit location # 8 MEMORIZE
sim/view/quick_look_8_mem                          View: 3-D cockpit location # 9 MEMORIZE
sim/view/quick_look_9_mem                          View: 3-D cockpit location # 10 MEMORIZE
sim/general/left                                   General command: left.
sim/general/right                                  General command: right.
sim/general/up                                     General command: up.
sim/general/down                                   General command: down.
sim/general/forward                                General command: forward.
sim/general/backward                               General command: backward.
sim/general/zoom_in                                General command: zoom in.
sim/general/zoom_out                               General command: zoom out.
sim/general/hat_switch_left                        Hat switch left
sim/general/hat_switch_right                       Hat switch right
sim/general/hat_switch_up                          Hat switch up
sim/general/hat_switch_down                        Hat switch down
sim/general/hat_switch_up_left                     Hat switch up + left
sim/general/hat_switch_up_right                    Hat switch up + right
sim/general/hat_switch_down_left                   Hat switch down + left
sim/general/hat_switch_down_right                  Hat switch down + right
sim/general/left_fast                              General command: left fast.
sim/general/right_fast                             General command: right fast.
sim/general/up_fast                                General command: up fast.
sim/general/down_fast                              General command: down fast.
sim/general/forward_fast                           General command: forward fast.
sim/general/backward_fast                          General command: backward fast.
sim/general/zoom_in_fast                           General command: zoom in fast.
sim/general/zoom_out_fast                          General command: zoom out fast.
sim/general/left_slow                              General command: left slow.
sim/general/right_slow                             General command: right slow.
sim/general/up_slow                                General command: up slow.
sim/general/down_slow                              General command: down slow.
sim/general/forward_slow                           General command: forward slow.
sim/general/backward_slow                          General command: backward slow.
sim/general/zoom_in_slow                           General command: zoom in slow.
sim/general/zoom_out_slow                          General command: zoom out slow.
sim/general/rot_up                                 General command: tilt up.
sim/general/rot_down                               General command: tilt down.
sim/general/rot_left                               General command: pan left.
sim/general/rot_right                              General command: pan right.
sim/general/rot_up_fast                            General command: tilt up fast.
sim/general/rot_down_fast                          General command: tilt down fast.
sim/general/rot_left_fast                          General command: pan left fast.
sim/general/rot_right_fast                         General command: pan right fast.
sim/general/rot_up_slow                            General command: tilt up slow.
sim/general/rot_down_slow                          General command: tilt down slow.
sim/general/rot_left_slow                          General command: pan left slow.
sim/general/rot_right_slow                         General command: pan right slow.
sim/general/toggle_artificial_stab_win             Toggle the artificial stability constants window.
sim/general/toggle_autopilot_constants_win         Toggle the autopilot constants window.
sim/general/toggle_fadec_win                       Toggle the FADEC constants window.
sim/general/toggle_control_deflections_win         Toggle the control deflections window.
sim/general/toggle_bouncers_win                    Toggle the bouncers window.
sim/general/toggle_weapon_guidance_win             Toggle the weapon guidance window.
sim/general/toggle_projection_win                  Toggle the projection configuration window.
sim/operation/toggle_sky_colors_win                Toggle the sky colors window.
