sim/none/none                                      Do nothing at all!
sim/igniters/igniter_arm_off_8                     Igniter #8 arm off.
sim/igniters/igniter_arm_on_1                      Igniter #1 arm on.
sim/igniters/igniter_arm_on_2                      Igniter #2 arm on.
sim/igniters/igniter_arm_on_3                      Igniter #3 arm on.
sim/igniters/igniter_arm_on_4                      Igniter #4 arm on.
sim/igniters/igniter_arm_on_5                      Igniter #5 arm on.
sim/igniters/igniter_arm_on_6                      Igniter #6 arm on.
sim/igniters/igniter_arm_on_7                      Igniter #7 arm on.
sim/igniters/igniter_arm_on_8                      Igniter #8 arm on.
sim/igniters/igniter_contin_off_1                  Igniter #1 contin-ignition off.
sim/igniters/igniter_contin_off_2                  Igniter #2 contin-ignition off.
sim/igniters/igniter_contin_off_3                  Igniter #3 contin-ignition off.
sim/igniters/igniter_contin_off_4                  Igniter #4 contin-ignition off.
sim/igniters/igniter_contin_off_5                  Igniter #5 contin-ignition off.
sim/igniters/igniter_contin_off_6                  Igniter #6 contin-ignition off.
sim/igniters/igniter_contin_off_7                  Igniter #7 contin-ignition off.
sim/igniters/igniter_contin_off_8                  Igniter #8 contin-ignition off.
sim/igniters/igniter_contin_on_1                   Igniter #1 contin-ignition on.
sim/igniters/igniter_contin_on_2                   Igniter #2 contin-ignition on.
sim/igniters/igniter_contin_on_3                   Igniter #3 contin-ignition on.
sim/igniters/igniter_contin_on_4                   Igniter #4 contin-ignition on.
sim/igniters/igniter_contin_on_5                   Igniter #5 contin-ignition on.
sim/igniters/igniter_contin_on_6                   Igniter #6 contin-ignition on.
sim/igniters/igniter_contin_on_7                   Igniter #7 contin-ignition on.
sim/igniters/igniter_contin_on_8                   Igniter #8 contin-ignition on.
sim/starters/engage_starter_1                      Engage starter #1.
sim/starters/engage_starter_2                      Engage starter #2.
sim/starters/engage_starter_3                      Engage starter #3.
sim/starters/engage_starter_4                      Engage starter #4.
sim/starters/engage_starter_5                      Engage starter #5.
sim/starters/engage_starter_6                      Engage starter #6.
sim/starters/engage_starter_7                      Engage starter #7.
sim/starters/engage_starter_8                      Engage starter #8.
sim/engines/throttle_down_1                        Throttle down a bit for engine #1.
sim/engines/throttle_down_2                        Throttle down a bit for engine #2.
sim/engines/throttle_down_3                        Throttle down a bit for engine #3.
sim/engines/throttle_down_4                        Throttle down a bit for engine #4.
sim/engines/throttle_down_5                        Throttle down a bit for engine #5.
sim/engines/throttle_down_6                        Throttle down a bit for engine #6.
sim/engines/throttle_down_7                        Throttle down a bit for engine #7.
sim/engines/throttle_down_8                        Throttle down a bit for engine #8.
sim/engines/throttle_up_1                          Throttle up a bit for engine #1.
sim/engines/throttle_up_2                          Throttle up a bit for engine #2.
sim/engines/throttle_up_3                          Throttle up a bit for engine #3.
sim/engines/throttle_up_4                          Throttle up a bit for engine #4.
sim/engines/throttle_up_5                          Throttle up a bit for engine #5.
